Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,4.383117,4.599567,4.274892,4.545455,2.595098,1637790
1985-02-01,4.437229,5.086580,4.437229,4.816017,2.749568,1709631
1985-03-01,4.816017,5.140693,4.761905,5.086580,2.904037,1500345
1985-04-01,5.032468,5.411255,4.816017,5.303030,3.046569,1501038
1985-05-01,5.303030,5.357143,4.816017,4.978355,2.860045,2107413
1985-06-01,4.978355,4.978355,4.329004,4.437229,2.549170,1035342
1985-07-01,4.437229,4.816017,4.274892,4.599567,2.660603,1626009
1985-08-01,4.653680,4.816017,4.491342,4.707792,2.723204,990990
1985-09-01,4.816017,4.924242,4.599567,4.761905,2.754507,1132593
1985-10-01,4.870130,5.248918,4.816017,5.248918,3.056117,1702239
1985-11-01,5.194805,5.357143,5.086580,5.303030,3.087622,1821204
1985-12-01,5.303030,5.790043,4.707792,4.707792,2.741053,3411177
1986-01-01,4.707792,5.194805,4.437229,4.545455,2.662744,2887962
1986-02-01,4.491342,4.545455,3.841991,4.004329,2.345749,1986138
1986-03-01,3.950216,4.166667,3.625541,3.787879,2.218954,1840377
1986-04-01,3.841991,3.896104,3.679654,3.841991,2.268294,1218063
1986-05-01,3.787879,4.058442,3.679654,4.004329,2.364137,2462691
1986-06-01,4.004329,4.004329,3.517316,3.679654,2.172450,1790712
1986-07-01,3.679654,3.733766,3.300866,3.354978,1.997458,1705935
1986-08-01,3.354978,4.058442,3.300866,3.896104,2.319629,1741971
1986-09-01,3.896104,4.329004,3.733766,3.787879,2.255197,1384614
1986-10-01,3.841991,4.274892,3.625541,3.896104,2.338335,1938783
1986-11-01,3.896104,4.004329,3.625541,3.733766,2.240905,1459689
1986-12-01,3.787879,4.274892,3.679654,3.896104,2.338335,2483712
1987-01-01,3.896104,4.978355,3.896104,4.491342,2.716138,2574726
1987-02-01,4.545455,4.816017,4.274892,4.274892,2.585239,3155922
1987-03-01,4.274892,5.465368,4.274892,5.140693,3.108831,3538458
1987-04-01,5.086580,5.303030,4.437229,4.491342,2.732592,2071608
1987-05-01,4.545455,5.140693,4.383117,4.653680,2.831360,1151304
1987-06-01,4.599567,4.761905,4.383117,4.653680,2.831360,1466388
1987-07-01,4.653680,5.086580,4.491342,5.086580,3.115265,2205126
1987-08-01,5.140693,5.411255,4.761905,5.194805,3.181550,2725107
1987-09-01,5.140693,5.140693,4.545455,4.599567,2.816994,1592745
1987-10-01,4.653680,4.761905,3.030303,3.084416,1.906027,2982441
1987-11-01,3.192641,3.409091,2.976190,3.138528,1.939464,2521596
1987-12-01,3.138528,3.409091,2.867965,3.246753,2.006342,5300295
1988-01-01,3.246753,3.841991,3.246753,3.625541,2.260510,2173479
1988-02-01,3.571429,3.787879,3.409091,3.625541,2.260510,1744974
1988-03-01,3.625541,3.625541,3.354978,3.463203,2.159293,2292906
1988-04-01,3.463203,3.733766,3.354978,3.571429,2.246427,980133
1988-05-01,3.517316,3.571429,3.300866,3.354978,2.110279,784476
1988-06-01,3.300866,3.463203,3.138528,3.246753,2.042207,1259874
1988-07-01,3.192641,3.625541,3.138528,3.625541,2.302317,1536843
1988-08-01,3.571429,3.571429,3.192641,3.192641,2.027413,1007160
1988-09-01,3.138528,3.192641,2.597403,2.867965,1.821235,2654190
1988-10-01,2.813853,3.192641,2.759740,3.138528,2.015624,2516745
1988-11-01,3.138528,3.192641,2.922078,3.030303,1.946119,1984290
1988-12-01,3.084416,3.571429,3.030303,3.409091,2.189387,4144833
1989-01-01,3.409091,3.841991,3.409091,3.679654,2.384687,4002537
1989-02-01,3.679654,4.004329,3.571429,3.733766,2.419755,1918917
1989-03-01,3.733766,3.950216,3.571429,3.841991,2.489893,2400321
1989-04-01,3.841991,4.707792,3.841991,4.491342,2.933536,4294521
1989-05-01,4.491342,5.573593,4.437229,5.573593,3.640412,5901588
1989-06-01,5.519481,5.681818,4.870130,5.194805,3.393004,8576568
1989-07-01,5.140693,6.493506,5.140693,6.493506,4.265139,12736416
1989-08-01,6.547619,6.655844,5.790043,6.655844,4.371769,11430573
1989-09-01,6.601732,6.926407,6.277056,6.439394,4.229599,5519745
1989-10-01,6.547619,7.305195,5.898268,6.547619,4.320848,10629696
1989-11-01,6.547619,7.305195,6.277056,7.142857,4.713653,8594355
1989-12-01,7.196970,7.954545,7.034632,7.954545,5.249293,12419022
1990-01-01,7.792208,7.846320,6.060606,6.601732,4.374052,6456219
1990-02-01,6.818182,7.738095,6.547619,6.709957,4.445758,6737346
1990-03-01,6.709957,7.142857,6.277056,7.034632,4.660875,7606599
1990-04-01,7.034632,7.034632,6.006494,6.493506,4.321403,4927230
1990-05-01,6.493506,6.980519,6.168831,6.601732,4.393426,8372595
1990-06-01,6.709957,6.872294,6.331169,6.439394,4.285390,6269109
1990-07-01,6.385281,7.521645,6.277056,7.305195,4.884184,6629238
1990-08-01,7.359307,7.846320,6.926407,7.251082,4.848004,10235379
1990-09-01,7.305195,8.982684,7.088745,8.549784,5.716303,9097935
1990-10-01,8.603896,8.603896,6.764069,6.980519,4.683297,8647716
1990-11-01,7.034632,7.467532,6.601732,7.305195,4.901126,5838987
1990-12-01,7.359307,7.521645,5.790043,6.331169,4.247642,8913366
1991-01-01,6.439394,6.493506,5.248918,5.411255,3.649040,11660880
1991-02-01,5.465368,6.818182,5.411255,6.385281,4.305866,12258246
1991-03-01,6.439394,6.493506,5.519481,5.627706,3.795001,7234689
1991-04-01,5.681818,6.385281,5.194805,6.060606,4.107277,11894421
1991-05-01,6.060606,7.251082,5.898268,6.926407,4.694032,12386682
1991-06-01,6.872294,7.088745,6.277056,6.385281,4.327311,4915911
1991-07-01,6.331169,7.251082,6.060606,7.251082,4.937108,7381836
1991-08-01,7.305195,8.008658,6.818182,7.900433,5.379236,7276038
1991-09-01,7.900433,8.116883,7.413420,7.900433,5.379236,8301909
1991-10-01,7.954545,8.928571,7.792208,8.603896,5.880610,9131892
1991-11-01,8.658009,8.982684,7.142857,7.196970,4.919002,7834596
1991-12-01,7.088745,7.196970,6.331169,6.872294,4.697091,6235614
1992-01-01,6.818182,6.872294,5.735931,5.790043,3.975641,15674736
1992-02-01,5.844156,6.222944,5.303030,5.411255,3.715551,8805027
1992-03-01,5.411255,6.331169,5.194805,6.222944,4.272886,9634548
1992-04-01,6.114719,7.413420,6.006494,7.196970,4.968438,13714701
1992-05-01,7.142857,7.792208,6.709957,7.629870,5.267290,8174859
1992-06-01,7.683983,7.846320,6.493506,6.872294,4.744297,6288975
1992-07-01,6.764069,8.441558,6.709957,8.170996,5.665840,10280886
1992-08-01,8.170996,8.766234,7.738095,8.766234,6.078583,13188945
1992-09-01,8.874459,9.577922,8.495671,9.253247,6.416282,19057731
1992-10-01,9.199134,9.253247,8.116883,8.549784,5.947860,11999064
1992-11-01,8.549784,8.658009,8.062771,8.279221,5.759636,9203964
1992-12-01,8.225108,8.225108,7.413420,8.116883,5.646702,12300519
1993-01-01,8.062771,9.415584,7.629870,9.253247,6.462548,10812417
1993-02-01,9.145022,10.714286,9.036797,10.660173,7.445160,14151984
1993-03-01,10.660173,11.363636,9.956710,11.309524,7.898670,18583719
1993-04-01,11.309524,12.121212,10.660173,11.580087,8.111417,15059352
1993-05-01,11.634199,11.634199,10.551948,11.309524,7.921898,9962799
1993-06-01,11.201299,13.095238,11.093074,12.012987,8.414651,15395226
1993-07-01,12.121212,12.445887,11.417749,12.175325,8.549451,10550694
1993-08-01,12.175325,14.502165,11.850649,13.744589,9.651376,15080604
1993-09-01,13.798701,13.798701,11.796537,12.824675,9.005418,13460139
1993-10-01,13.095238,13.528139,10.714286,11.525974,8.114039,15631770
1993-11-01,11.525974,11.688312,9.415584,9.469697,6.666465,17580255
1993-12-01,9.415584,10.389610,8.820346,10.119048,7.123593,22729014
1994-01-01,10.173160,11.309524,10.119048,10.822511,7.642204,17708691
1994-02-01,10.822511,11.634199,10.497835,10.822511,7.642204,15899499
1994-03-01,10.930736,11.471861,9.740260,10.010823,7.069035,15933918
1994-04-01,9.740260,12.554113,9.632035,11.742424,8.314723,16416708
1994-05-01,11.688312,12.121212,11.201299,11.742424,8.314723,11310915
1994-06-01,11.742424,12.662338,11.038961,11.958874,8.467997,12817959
1994-07-01,12.012987,12.662338,10.660173,11.093074,7.874528,9200037
1994-08-01,11.201299,11.417749,9.956710,10.930736,7.759288,24412542
1994-09-01,10.876623,11.796537,10.660173,10.930736,7.759288,10647252
1994-10-01,11.093074,12.500000,10.497835,12.175325,8.666446,15302826
1994-11-01,12.121212,12.283550,10.497835,12.121212,8.627931,18206034
1994-12-01,12.012987,12.067100,10.227273,10.822511,7.703508,29410227
1995-01-01,10.930736,11.038961,9.632035,10.064935,7.184476,21184779
1995-02-01,10.173160,11.201299,9.740260,10.822511,7.725245,21352485
1995-03-01,10.822511,11.850649,10.606061,11.796537,8.420517,13858845
1995-04-01,11.850649,12.067100,10.984848,11.688312,8.365683,11511654
1995-05-01,11.742424,12.608225,11.525974,12.554113,8.985366,15950088
1995-06-01,12.608225,13.419913,11.850649,11.850649,8.481870,18998826
1995-07-01,11.742424,12.229437,11.147186,11.850649,8.503032,17179008
1995-08-01,11.796537,12.716450,11.147186,12.608225,9.046611,19976187
1995-09-01,12.608225,13.095238,11.201299,11.363636,8.153590,20027700
1995-10-01,11.471861,11.850649,10.010823,11.038961,7.941611,15683283
1995-11-01,11.093074,12.175325,10.714286,11.525974,8.291975,14711697
1995-12-01,11.634199,12.824675,11.201299,12.770563,9.187356,21898800
1996-01-01,12.770563,12.770563,11.093074,11.634199,8.390447,18255006
1996-02-01,11.309524,12.121212,11.255411,11.255411,8.117265,22716309
1996-03-01,11.363636,12.337662,10.551948,11.634199,8.390447,26633145
1996-04-01,11.634199,12.878788,11.471861,12.608225,9.116645,29605653
1996-05-01,12.500000,13.149351,11.417749,12.391775,8.960138,25610046
1996-06-01,12.445887,14.502165,12.121212,14.231602,10.290462,20105085
1996-07-01,14.231602,14.989177,12.012987,12.337662,8.940957,24095379
1996-08-01,12.337662,13.582251,12.283550,12.716450,9.215464,17523429
1996-09-01,13.095238,13.528139,12.716450,12.824675,9.293890,20846133
1996-10-01,12.824675,15.476190,12.770563,15.367965,11.162394,24870846
1996-11-01,15.367965,16.396105,14.826840,15.746753,11.437524,14110866
1996-12-01,15.476190,16.341991,14.664502,15.205628,11.044479,16342557
1997-01-01,15.259740,17.207792,15.043290,16.612555,12.089567,21146895
1997-02-01,16.612555,16.829004,13.961039,14.015152,10.199348,21807093
1997-03-01,13.961039,15.151515,13.528139,14.502165,10.553767,15581412
1997-04-01,14.556277,14.826840,13.041126,14.718615,10.733384,20178312
1997-05-01,14.718615,15.422078,13.906926,14.826840,10.812305,24892791
1997-06-01,14.826840,15.259740,14.069264,14.069264,10.259849,21078519
1997-07-01,14.123377,15.909091,13.879870,15.259740,11.151646,41921649
1997-08-01,15.313853,17.424242,15.178571,17.180737,12.555494,26240907
1997-09-01,17.153681,18.560606,16.991343,18.560606,13.563883,20867847
1997-10-01,18.560606,19.507576,16.829004,18.181818,13.309524,25624137
1997-11-01,18.290043,18.885281,15.097403,15.909091,11.645830,16467066
