Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,4.968750,4.328125,4.687500,1.591975,8536000
1985-02-01,0.000000,4.750000,4.406250,4.468750,1.517683,13904800
1985-03-01,0.000000,4.734375,4.296875,4.593750,1.560134,7308800
1985-04-01,0.000000,5.031250,4.437500,4.968750,1.687492,13404800
1985-05-01,0.000000,5.375000,4.812500,5.187500,1.761784,13924800
1985-06-01,0.000000,5.515625,5.125000,5.437500,1.846690,8670400
1985-07-01,0.000000,5.546875,4.937500,5.156250,1.751171,7009600
1985-08-01,0.000000,5.250000,4.625000,4.718750,1.602587,19220000
1985-09-01,0.000000,4.734375,4.234375,4.390625,1.491149,6800800
1985-10-01,0.000000,4.906250,4.343750,4.890625,1.660959,10732800
1985-11-01,0.000000,5.296875,4.890625,5.203125,1.767091,13826400
1985-12-01,0.000000,5.890625,5.031250,5.656250,1.920982,10688000
1986-01-01,0.000000,5.656250,5.000000,5.406250,1.836077,16060000
1986-02-01,0.000000,6.421875,5.375000,6.421875,2.181005,19519200
1986-03-01,0.000000,6.500000,6.109375,6.187500,2.101405,13998400
1986-04-01,0.000000,6.937500,6.000000,6.687500,2.271217,13957600
1986-05-01,0.000000,6.937500,6.328125,6.937500,2.356122,37605600
1986-06-01,6.906250,6.937500,6.468750,6.750000,2.292443,6739200
1986-07-01,6.781250,6.843750,5.718750,5.953125,2.035746,15153600
1986-08-01,5.937500,6.406250,5.828125,6.375000,2.180010,38368000
1986-09-01,6.343750,6.375000,5.250000,5.656250,1.948711,13922400
1986-10-01,5.656250,5.812500,5.421875,5.531250,1.905646,5120000
1986-11-01,5.500000,5.609375,5.125000,5.437500,1.873346,14712800
1986-12-01,5.500000,6.187500,5.250000,5.375000,1.851812,14648800
1987-01-01,5.437500,6.187500,5.281250,6.000000,2.087295,12422000
1987-02-01,6.062500,6.343750,5.937500,6.218750,2.163393,13261600
1987-03-01,6.156250,6.718750,6.093750,6.312500,2.196006,12605200
1987-04-01,6.250000,6.531250,5.312500,5.906250,2.072173,10643600
1987-05-01,5.906250,6.250000,5.500000,5.875000,2.061209,11889600
1987-06-01,5.875000,6.625000,5.718750,6.468750,2.269523,10421200
1987-07-01,6.468750,6.500000,5.937500,6.218750,2.201485,19757200
1987-08-01,6.156250,7.281250,6.156250,6.812500,2.411677,20234800
1987-09-01,6.750000,6.875000,5.937500,6.093750,2.173757,26963600
1987-10-01,6.125000,6.187500,4.218750,4.593750,1.638679,21427600
1987-11-01,4.593750,5.031250,4.406250,4.437500,1.582941,28000400
1987-12-01,4.375000,4.593750,3.875000,4.312500,1.557328,25496800
1988-01-01,4.406250,5.250000,4.375000,5.218750,1.884593,15186800
1988-02-01,5.250000,5.625000,4.937500,5.562500,2.008729,11366400
1988-03-01,5.500000,5.562500,4.718750,4.937500,1.802307,7880400
1988-04-01,4.937500,5.281250,4.875000,5.156250,1.882156,9736800
1988-05-01,5.218750,5.468750,5.031250,5.437500,1.984821,6911600
1988-06-01,5.406250,6.250000,5.218750,6.062500,2.236891,12384000
1988-07-01,6.125000,6.312500,5.718750,5.843750,2.156178,10819600
1988-08-01,6.000000,7.281250,6.000000,6.687500,2.467498,38579200
1988-09-01,6.687500,7.187500,6.656250,7.031250,2.616833,38247600
1988-10-01,7.000000,7.250000,7.000000,7.125000,2.651723,14870400
1988-11-01,7.093750,7.218750,6.437500,6.718750,2.500527,15098000
1988-12-01,6.656250,7.093750,6.656250,6.812500,2.559452,10244800
1989-01-01,6.843750,7.531250,6.750000,7.500000,2.817744,15280400
1989-02-01,7.468750,8.468750,7.437500,8.281250,3.111260,14021600
1989-03-01,8.218750,9.312500,8.156250,8.875000,3.360485,17059600
1989-04-01,8.875000,9.437500,8.375000,9.093750,3.443312,23174000
1989-05-01,9.093750,11.812500,9.062500,11.718750,4.437258,43550000
1989-06-01,11.625000,12.125000,11.218750,11.312500,4.307981,26173600
1989-07-01,11.375000,13.375000,11.343750,13.375000,5.093414,30782000
1989-08-01,13.437500,13.750000,12.812500,13.031250,4.962510,19514800
1989-09-01,12.968750,13.156250,12.375000,13.125000,5.026660,17655200
1989-10-01,13.062500,13.093750,11.437500,11.812500,4.523997,25742800
1989-11-01,11.812500,12.562500,11.062500,11.718750,4.488091,41890800
1989-12-01,11.750000,11.750000,10.343750,11.562500,4.456698,31175600
1990-01-01,11.500000,11.812500,10.125000,10.500000,4.047163,29362000
1990-02-01,10.562500,11.281250,10.187500,11.125000,4.288065,23070800
1990-03-01,11.031250,11.625000,9.468750,9.687500,3.763929,44566800
1990-04-01,9.625000,9.687500,8.468750,9.500000,3.691078,26170000
1990-05-01,9.500000,10.062500,9.187500,9.687500,3.763929,31929600
1990-06-01,9.750000,11.062500,9.125000,9.375000,3.676488,29720000
1990-07-01,9.375000,9.625000,8.406250,8.968750,3.517172,24861600
1990-08-01,8.906250,8.906250,7.500000,8.156250,3.198543,21148000
1990-09-01,8.218750,8.281250,4.500000,5.343750,2.118148,33396000
