Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.922968,2.185513,1.873297,2.128747,0.883240,350616533
1985-02-01,2.128747,2.199705,2.043597,2.100363,0.871463,222453087
1985-03-01,2.100363,2.185513,1.837818,1.930064,0.800804,218843568
1985-04-01,1.930064,1.993926,1.773955,1.802339,0.749034,165488227
1985-05-01,1.802339,2.050693,1.788147,1.887489,0.784423,314320526
1985-06-01,1.901680,2.015213,1.795243,1.986830,0.825707,242561750
1985-07-01,1.986830,2.199705,1.979734,2.150034,0.894987,192100719
1985-08-01,2.150034,2.192609,1.993926,2.015213,0.838865,182658541
1985-09-01,2.015213,2.029405,1.795243,1.844914,0.767975,186262776
1985-10-01,1.852010,1.887489,1.632039,1.717189,0.715975,253385021
1985-11-01,1.717189,2.043597,1.681710,2.036501,0.849110,203956286
1985-12-01,2.036501,2.206801,1.986830,2.086172,0.869821,199545241
1986-01-01,2.086172,2.313238,2.029405,2.235184,0.933315,277268794
1986-02-01,2.235184,2.533208,2.228088,2.490634,1.039979,257153084
1986-03-01,2.490634,2.561592,2.306142,2.497729,1.042942,206086063
1986-04-01,2.497729,2.724796,2.256471,2.568688,1.073899,248928171
1986-05-01,2.561592,2.675125,2.419675,2.625454,1.097631,179468287
1986-06-01,2.625454,2.632550,2.299046,2.327430,0.973035,157233368
1986-07-01,2.327430,2.412579,2.029405,2.235184,0.935674,242732626
1986-08-01,2.228088,2.653837,2.114555,2.639646,1.104985,204484765
1986-09-01,2.639646,2.817041,2.079076,2.185513,0.914881,424623111
1986-10-01,2.192609,2.284855,2.079076,2.213896,0.927878,135292642
1986-11-01,2.228088,2.540304,2.228088,2.469346,1.034941,208635097
1986-12-01,2.469346,2.589975,2.355813,2.377100,0.996279,219224073
1987-01-01,2.384196,3.079587,2.384196,2.845425,1.194062,572870558
1987-02-01,2.845425,3.377611,2.817041,3.115066,1.307214,330173166
1987-03-01,3.115066,3.547911,2.987341,3.228599,1.354858,316142021
1987-04-01,3.228599,3.349228,2.923479,3.178928,1.335272,276842487
1987-05-01,3.178928,3.718211,3.129257,3.696923,1.552849,384856753
1987-06-01,3.696923,3.782073,3.469857,3.469857,1.457473,264652213
1987-07-01,3.469857,3.611773,3.320845,3.469857,1.458749,200355576
1987-08-01,3.469857,3.938181,3.398899,3.760786,1.581055,311972312
1987-09-01,3.760786,4.016235,3.526624,4.002044,1.682484,234608128
1987-10-01,4.002044,4.179439,2.228088,2.845425,1.197455,473429999
1987-11-01,2.845425,3.037012,2.554496,2.589975,1.089952,274231797
1987-12-01,2.668029,3.349228,2.540304,3.306653,1.391556,291183672
1988-01-01,3.349228,3.484049,2.923479,3.221503,1.357263,260667476
1988-02-01,3.221503,3.498240,2.951862,3.498240,1.473857,251359182
1988-03-01,3.498240,3.718211,3.335036,3.448569,1.452929,256314561
1988-04-01,3.448569,3.682732,3.405995,3.469857,1.463361,178904572
1988-05-01,3.469857,3.625965,3.065395,3.200216,1.349645,249032106
1988-06-01,3.221503,3.384707,2.944766,3.164737,1.334681,396046434
1988-07-01,3.164737,3.186024,2.738987,2.866712,1.210468,219962185
1988-08-01,2.866712,2.944766,2.483538,2.639646,1.114589,244122529
1988-09-01,2.625454,2.888000,2.575783,2.831233,1.195487,177770102
1988-10-01,2.831233,2.951862,2.753179,2.866712,1.212109,160966199
1988-11-01,2.866712,2.888000,2.589975,2.746083,1.161104,163094212
1988-12-01,2.746083,3.051203,2.731891,3.022820,1.278115,183815914
1989-01-01,3.008629,3.285366,2.937670,3.278270,1.388440,192512933
1989-02-01,3.278270,3.491144,3.065395,3.136353,1.328334,242685064
1989-03-01,3.136353,3.207312,2.859616,2.916383,1.235170,193115401
1989-04-01,2.916383,3.264078,2.845425,3.221503,1.366538,176181138
1989-05-01,3.207312,3.249886,2.895095,3.065395,1.300318,265776115
1989-06-01,3.065395,3.150545,2.909287,2.937670,1.246138,188487677
1989-07-01,2.937670,3.079587,2.888000,3.051203,1.296348,140607388
1989-08-01,3.051203,3.299557,2.845425,2.980245,1.266200,331297065
1989-09-01,2.980245,3.015724,2.845425,2.852520,1.211934,149898069
1989-10-01,2.852520,2.958958,2.639646,2.710604,1.154021,252342154
1989-11-01,2.710604,2.717700,2.284855,2.575783,1.096622,275320462
1989-12-01,2.575783,2.689317,2.497729,2.682221,1.141937,169132979
1990-01-01,2.682221,2.817041,2.412579,2.533208,1.080997,182114209
1990-02-01,2.533208,2.738987,2.334525,2.448059,1.044662,195858210
1990-03-01,2.440963,2.710604,2.377100,2.597071,1.108249,205298625
1990-04-01,2.597071,2.682221,2.412579,2.469346,1.056265,160316169
1990-05-01,2.469346,2.781562,2.469346,2.710604,1.159464,328386902
1990-06-01,2.710604,2.859616,2.597071,2.682221,1.147324,210933982
1990-07-01,2.689317,2.760275,2.426771,2.448059,1.049444,164977362
1990-08-01,2.448059,2.448059,1.759764,1.979734,0.848680,288241799
1990-09-01,1.979734,2.050693,1.653327,1.901680,0.815220,159842299
1990-10-01,1.873297,1.873297,1.461739,1.475931,0.634697,248910557
1990-11-01,1.475931,1.710093,1.412069,1.702997,0.732342,258819555
1990-12-01,1.738476,1.979734,1.710093,1.809435,0.778114,190009701
1991-01-01,1.809435,2.256471,1.695901,2.206801,0.952106,219902291
1991-02-01,2.206801,2.767371,2.079076,2.646742,1.141916,401290718
1991-03-01,2.646742,2.937670,2.526113,2.838329,1.224573,356935391
1991-04-01,2.802850,3.129257,2.724796,2.902191,1.255305,299213044
1991-05-01,2.866712,3.100874,2.533208,3.079587,1.332035,509435343
1991-06-01,3.079587,3.107970,2.838329,2.880904,1.246097,197197028
1991-07-01,2.909287,3.214407,2.845425,3.051203,1.322870,222932240
1991-08-01,3.051203,3.207312,2.753179,3.001533,1.301335,268568254
1991-09-01,3.001533,3.022820,2.582879,2.809946,1.218271,225992141
1991-10-01,2.809946,2.930574,2.611262,2.859616,1.243095,215232289
1991-11-01,2.859616,2.888000,2.533208,2.731891,1.187572,191389032
1991-12-01,2.731891,3.256982,2.689317,3.235695,1.406580,236956339
1992-01-01,3.193120,3.597582,3.107970,3.363420,1.465920,343802665
1992-02-01,3.363420,4.427793,3.320845,4.143960,1.806111,331501411
1992-03-01,4.143960,4.825159,4.136864,4.569709,1.991671,338331135
1992-04-01,4.569709,4.683243,4.179439,4.541326,1.984271,312458517
1992-05-01,4.541326,4.704530,4.179439,4.314260,1.885056,258433766
1992-06-01,4.314260,4.356835,3.689827,3.909798,1.708331,282613488
1992-07-01,3.909798,4.214918,3.590486,4.172343,1.828642,256677451
1992-08-01,4.172343,4.222014,3.157641,3.249886,1.424350,444206817
1992-09-01,3.249886,3.427282,3.136353,3.164737,1.387032,243276959
1992-10-01,3.164737,3.306653,2.852520,3.228599,1.419927,295603528
1992-11-01,3.228599,3.796265,3.065395,3.774977,1.660223,389701153
1992-12-01,3.774977,3.994948,3.569198,3.966564,1.744482,284700986
1993-01-01,3.966564,4.271685,3.853031,4.087193,1.803181,274901201
1993-02-01,4.087193,4.314260,3.774977,4.186535,1.847008,280076781
1993-03-01,4.172343,4.520039,4.108481,4.321356,1.906487,267005712
1993-04-01,4.321356,4.342643,3.916894,4.250397,1.880137,186671466
1993-05-01,4.250397,5.045129,4.186535,4.732913,2.093574,332982916
1993-06-01,4.768392,5.066417,4.456176,4.598093,2.033938,370450386
1993-07-01,4.598093,4.598093,3.973660,4.087193,1.813366,298735652
1993-08-01,4.087193,4.378122,3.888510,4.207822,1.866885,315886592
1993-09-01,4.207822,4.229110,3.654348,3.881415,1.722070,317186651
1993-10-01,3.881415,4.321356,3.810456,4.179439,1.861061,248068510
1993-11-01,4.179439,4.527134,3.980756,4.186535,1.864221,267875944
1993-12-01,4.214918,4.484559,4.214918,4.484559,1.996928,221175929
1994-01-01,4.477464,4.981267,4.399410,4.839351,2.161943,267690972
1994-02-01,4.839351,5.314771,4.576805,5.144471,2.298254,326239510
1994-03-01,5.144471,5.194142,4.463272,4.661955,2.082694,329877215
1994-04-01,4.640668,4.775488,4.200727,4.555518,2.040789,264356264
1994-05-01,4.562614,4.711626,4.229110,4.456176,1.996285,338692265
1994-06-01,4.456176,4.569709,4.264589,4.271685,1.913637,242274609
1994-07-01,4.271685,4.427793,4.080098,4.406505,1.981644,208767215
1994-08-01,4.406505,5.151567,4.406505,5.108992,2.297558,364793891
1994-09-01,5.087704,5.194142,4.846446,4.959980,2.230546,239232325
1994-10-01,4.959980,5.612795,4.740009,5.556029,2.506916,315877781
1994-11-01,5.548933,5.818574,5.343154,5.548933,2.503715,423821583
1994-12-01,5.499262,5.818574,5.215429,5.669562,2.558142,317346956
1995-01-01,5.669562,6.095311,5.563124,5.705041,2.582261,316492578
1995-02-01,5.705041,6.670073,5.690849,6.528156,2.954829,329764474
1995-03-01,6.528156,7.095822,6.513965,6.833277,3.092934,361543737
1995-04-01,6.833277,7.535763,6.748127,7.507380,3.407373,234425800
1995-05-01,7.493188,8.231153,7.237738,7.493188,3.400932,343477649
1995-06-01,7.493188,8.784628,7.464805,8.458220,3.838932,258517441
1995-07-01,8.458220,9.508401,8.146004,8.841394,4.023502,243973674
1995-08-01,8.742053,9.692893,7.947321,9.082652,4.133291,387727277
1995-09-01,9.082652,9.749659,8.869777,9.465827,4.307665,272807542
1995-10-01,9.465827,10.970141,8.373070,10.516008,4.797498,362848203
1995-11-01,10.516008,10.899183,9.409060,9.423252,4.298971,419681825
1995-12-01,9.409060,10.005109,8.486603,9.508401,4.337818,438892068
1996-01-01,9.508401,9.721276,8.358878,9.621935,4.401139,460089403
1996-02-01,9.621935,11.821639,9.607743,11.438465,5.232032,415984224
1996-03-01,11.083674,11.736490,10.189600,10.686308,4.887990,437950494
1996-04-01,10.714691,12.758288,10.657925,12.020322,5.509208,289030996
1996-05-01,12.020322,13.098887,11.509423,12.091281,5.541728,434963702
1996-06-01,12.091281,12.346730,10.643733,11.310740,5.183992,350571612
1996-07-01,11.367507,11.608765,8.571753,9.990917,4.590184,623638546
1996-08-01,9.990917,10.586966,9.025886,9.934151,4.564101,298682802
1996-09-01,9.934151,11.268165,9.650318,11.069482,5.085714,284708472
1996-10-01,11.041099,11.041099,9.650318,10.019301,4.614526,307977004
1996-11-01,10.019301,12.488647,9.707084,12.233197,5.634167,319042497
1996-12-01,12.233197,12.914396,11.239782,11.410082,5.255066,239001117
1997-01-01,11.410082,12.573797,11.410082,11.949364,5.516139,237740691
1997-02-01,11.949364,13.510445,11.126249,12.744096,5.883008,335118858
1997-03-01,12.744096,13.623978,12.062897,12.091281,5.581652,282376113
1997-04-01,12.062897,12.318347,10.927566,11.920981,5.514671,329777687
1997-05-01,11.920981,13.396912,11.381698,11.693915,5.409632,397279996
1997-06-01,11.722298,12.715713,11.551998,12.715713,5.882318,275515563
1997-07-01,12.715713,16.093325,12.332539,15.894641,7.372279,334213395
1997-08-01,15.894641,16.235241,13.709128,13.964578,6.477074,262140172
1997-09-01,14.007153,16.561649,14.007153,15.795300,7.326201,242593458
1997-10-01,15.795300,16.221048,13.113079,13.992961,6.503445,274604373
1997-11-01,14.049728,14.986376,13.184037,13.879428,6.450680,227270624
1997-12-01,13.922003,15.525658,13.453678,14.163261,6.582598,278510281
1998-01-01,14.163261,14.915418,13.609787,13.652361,6.359667,241880893
1998-02-01,13.808470,15.426317,13.581403,15.213442,7.086864,309108394
1998-03-01,15.213442,15.383742,13.652361,14.390327,6.703435,258317061
1998-04-01,14.390327,17.228657,13.638170,17.115124,7.990530,365938049
1998-05-01,17.115124,18.704588,14.106494,14.149069,6.605772,446521120
1998-06-01,14.149069,14.631585,12.715713,13.595595,6.347374,339292086
1998-07-01,13.595595,14.262602,12.573797,12.602180,5.900340,346794301
1998-08-01,12.587988,13.524637,10.899183,11.026907,5.162796,366832940
1998-09-01,11.026907,12.673138,10.842416,12.020322,5.627913,303070952
1998-10-01,11.991939,13.808470,10.686308,13.680745,6.425457,319408909
1998-11-01,13.709128,15.440509,13.098887,14.205836,6.672082,379279966
1998-12-01,14.205836,15.965599,13.922003,15.511467,7.285296,252510384
1999-01-01,15.525658,17.938238,15.326975,17.796322,8.378796,284566660
1999-02-01,18.023388,19.045185,15.014759,15.085718,7.102604,367709339
1999-03-01,15.085718,16.845482,14.390327,15.397934,7.249603,339366954
1999-04-01,15.397934,18.505903,14.787693,17.909855,8.451333,298785857
1999-05-01,17.909855,22.153156,17.484104,21.415192,10.105437,376006915
1999-06-01,21.088783,22.820164,19.442553,22.820164,10.768416,262056937
1999-07-01,22.820164,26.893166,22.366032,23.771004,11.236654,288824451
1999-08-01,23.771004,26.311308,22.706631,23.927113,11.310451,338769773
1999-09-01,23.927113,26.027475,20.095367,20.606268,9.740673,348779624
1999-10-01,20.308243,20.421776,15.213442,16.845482,7.975588,548404137
1999-11-01,16.845482,22.550522,16.306198,21.542915,10.199617,462293164
1999-12-01,21.585489,26.779633,21.585489,25.828793,12.228797,343471044
2000-01-01,25.828793,26.978315,22.933697,24.579927,11.655225,299736239
2000-02-01,24.579927,31.391916,23.614897,30.540419,14.481557,371309608
2000-03-01,30.540419,35.308811,28.156221,30.100477,14.272945,408991113
2000-04-01,30.100477,35.422344,27.460831,30.653952,14.552137,347537698
2000-05-01,30.653952,32.243416,25.701067,27.290531,12.955440,317704561
2000-06-01,28.241371,33.009766,25.885559,28.354904,13.460729,420087872
2000-07-01,28.354904,30.923592,23.387829,24.806993,15.107163,339832018
2000-08-01,24.806993,27.588556,24.296095,27.393421,16.682261,351036234
2000-09-01,27.531790,28.709696,21.344233,22.025431,13.413219,448908086
2000-10-01,22.025431,22.664055,18.704588,21.117167,12.880105,523230431
2000-11-01,20.975250,21.798365,13.851045,14.361944,8.759858,436856542
2000-12-01,14.503860,16.178474,13.226612,14.333560,8.742545,355599219
2001-01-01,14.333560,17.234331,13.510445,16.734787,10.233027,437157997
2001-02-01,16.734787,16.984558,12.724796,13.101726,8.011473,315251533
2001-03-01,13.101726,14.986376,12.534060,14.200727,8.683496,322081475
2001-04-01,14.200727,15.440509,11.889192,12.910990,7.917382,336644623
2001-05-01,12.910990,14.246140,11.353315,13.315168,8.165236,376391164
2001-06-01,13.315168,13.746594,11.548592,12.988193,7.964724,261156981
2001-07-01,12.988193,13.242507,10.649410,11.198910,6.887898,276267326
2001-08-01,11.353315,12.007266,10.449591,10.540418,6.482890,229498165
2001-09-01,9.604905,9.650318,5.676658,7.288828,4.482997,600883963
2001-10-01,7.220708,8.514986,6.743869,7.643052,4.721980,489060459
2001-11-01,7.643052,10.599455,7.547684,9.986376,6.169716,513283998
2001-12-01,9.945504,10.917348,9.123524,9.327884,5.762890,368756828
2002-01-01,9.355132,10.953678,9.173479,10.040872,6.227106,328862094
2002-02-01,9.968211,10.463215,8.596730,9.137148,5.666641,321440693
2002-03-01,9.141689,9.695731,7.947321,8.147139,5.052659,693597189
2002-04-01,8.128974,8.537693,7.520436,7.765668,4.835221,583244842
2002-05-01,7.697548,9.368756,7.384196,8.669391,5.397916,724755049
2002-06-01,8.683015,8.805631,6.357856,6.939146,4.320593,458797049
2002-07-01,6.925522,7.447775,4.881926,6.425976,4.019608,584857366
2002-08-01,6.312443,6.993642,5.404178,6.099001,3.815076,436376505
2002-09-01,5.912807,6.643960,5.181653,5.299728,3.315113,396766709
2002-10-01,5.313351,7.493188,4.959128,7.175295,4.515084,545016139
2002-11-01,7.084469,9.009991,6.562216,8.846503,5.566697,781396657
2002-12-01,9.073569,9.373297,7.797457,7.883742,4.960876,492186636
2003-01-01,8.006358,9.627611,7.615804,7.906449,4.996679,544886000
2003-02-01,7.920073,8.401453,6.762035,7.198002,4.548957,558683513
2003-03-01,7.311535,8.083560,6.439600,7.061762,4.462856,556434169
2003-04-01,7.129882,7.693006,6.902816,7.402361,4.702130,523419143
2003-05-01,7.402361,8.964578,7.361490,8.855586,5.625246,598978572
2003-06-01,8.991826,10.354223,8.955495,9.673025,6.144500,640863913
2003-07-01,9.673025,10.762943,8.978202,9.613987,6.130364,584872557
2003-08-01,9.536785,10.853769,8.673933,9.050863,5.771286,634213874
2003-09-01,9.128065,9.713896,8.673933,8.792007,5.606227,566845228
2003-10-01,8.819255,10.204360,8.819255,10.131698,6.486325,596934235
2003-11-01,10.131698,10.762943,9.536785,9.872843,6.320606,496224443
2003-12-01,9.900091,10.440509,9.845595,10.431426,6.678211,496924679
2004-01-01,10.440509,11.934605,10.381471,10.803815,6.941506,603204429
2004-02-01,10.858311,11.353315,10.108992,10.313351,6.626379,594583600
2004-03-01,10.399637,10.644868,9.564033,10.372389,6.664311,536016124
2004-04-01,10.422343,10.785649,8.937330,8.946412,5.768756,510207364
2004-05-01,9.059946,9.763851,8.723887,9.645777,6.219711,544898992
