Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,3.359375,3.515625,3.291667,3.442708,0.109729,162784800
1985-02-01,3.442708,3.802083,3.416667,3.776042,0.120353,120698400
1985-03-01,3.786458,3.947917,3.729167,3.890625,0.124005,158056800
1985-04-01,3.901042,3.963542,3.541667,3.578125,0.115291,137328000
1985-05-01,3.520833,3.651042,3.395833,3.578125,0.115291,316910400
1985-06-01,3.604167,3.703125,3.500000,3.557292,0.114620,176887200
1985-07-01,3.567708,3.687500,3.411458,3.473958,0.113218,227589600
1985-08-01,3.494792,3.562500,3.348958,3.406250,0.111011,146133600
1985-09-01,3.385417,3.411458,3.046875,3.125000,0.101845,172612800
1985-10-01,3.125000,3.244792,3.000000,3.057292,0.100894,183996000
1985-11-01,3.057292,3.312500,3.010417,3.312500,0.109316,244526400
1985-12-01,3.333333,3.781250,3.270833,3.682292,0.121519,346744800
1986-01-01,3.687500,4.010417,3.661458,3.979167,0.132971,254361600
1986-02-01,3.984375,4.416667,3.947917,4.354167,0.145502,217176000
1986-03-01,4.343750,5.270833,4.265625,4.895833,0.163603,315499200
1986-04-01,4.895833,5.802083,4.562500,5.000000,0.168954,301818000
1986-05-01,5.010417,5.833333,5.000000,5.750000,0.194297,169641600
1986-06-01,5.697917,6.333333,5.479167,6.218750,0.210137,207540000
1986-07-01,6.229167,6.406250,5.791667,6.000000,0.204514,233698800
1986-08-01,5.979167,6.500000,5.718750,6.333333,0.215875,159160800
1986-09-01,6.333333,6.395833,5.250000,5.520833,0.188181,218865600
1986-10-01,5.531250,6.260417,5.510417,6.125000,0.210485,167984400
1986-11-01,6.135417,6.239583,5.541667,6.187500,0.212633,152019600
1986-12-01,6.104167,6.322917,5.968750,5.989583,0.205831,182546400
1987-01-01,6.062500,7.604167,6.052083,7.343750,0.254921,323658000
1987-02-01,7.364583,7.593750,6.906250,7.041667,0.244435,213115200
1987-03-01,7.020833,7.500000,6.937500,7.093750,0.246242,210666000
1987-04-01,7.000000,7.687500,6.843750,6.958333,0.243648,249739200
