Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,1.554688,1.343750,1.539063,0.757678,44086400
1985-02-01,0.000000,1.707031,1.546875,1.660156,0.817291,28476800
1985-03-01,0.000000,1.699219,1.507813,1.695313,0.834600,30371200
1985-04-01,0.000000,1.691406,1.562500,1.562500,0.769215,31004800
1985-05-01,0.000000,1.812500,1.531250,1.796875,0.884597,37321600
1985-06-01,0.000000,1.890625,1.656250,1.726563,0.849984,24640000
1985-07-01,1.703125,1.734375,1.437500,1.539063,0.757678,49395200
1985-08-01,1.578125,1.664063,1.523438,1.601563,0.788446,42334400
1985-09-01,1.601563,1.617188,1.414063,1.445313,0.714592,43819200
1985-10-01,1.445313,1.687500,1.406250,1.554688,0.768669,49288000
1985-11-01,1.554688,1.765625,1.515625,1.718750,0.849785,38217600
1985-12-01,1.718750,1.828125,1.640625,1.757813,0.873380,42075200
1986-01-01,1.757813,1.757813,1.515625,1.640625,0.815154,71096000
1986-02-01,1.640625,1.945313,1.625000,1.882813,0.935487,52032000
1986-03-01,1.882813,2.171875,1.875000,2.093750,1.045021,39552000
1986-04-01,2.070313,2.273438,1.875000,2.101563,1.048921,32515200
1986-05-01,2.101563,2.406250,2.039063,2.351563,1.173700,32662400
1986-06-01,2.351563,2.468750,2.164063,2.460938,1.232482,35625600
1986-07-01,2.468750,2.468750,2.179688,2.234375,1.119016,36926400
1986-08-01,2.242188,2.375000,2.078125,2.218750,1.111190,33035200
1986-09-01,2.218750,2.218750,1.859375,1.890625,0.950026,65064000
1986-10-01,1.898438,2.062500,1.890625,2.054688,1.032467,38115200
1986-11-01,2.054688,2.171875,1.945313,2.093750,1.052095,29995200
1986-12-01,2.093750,2.164063,1.984375,2.023438,1.020878,43320000
1987-01-01,2.031250,2.328125,2.031250,2.234375,1.127302,45636800
1987-02-01,2.218750,2.414063,2.218750,2.328125,1.174601,36723200
1987-03-01,2.328125,2.382813,2.250000,2.289063,1.159108,43220800
1987-04-01,2.265625,2.351563,2.101563,2.273438,1.151196,55009600
1987-05-01,2.273438,2.382813,2.140625,2.296875,1.163065,31228800
1987-06-01,2.296875,2.656250,2.257813,2.578125,1.310230,45532800
1987-07-01,2.585938,2.664063,2.484375,2.632813,1.338021,35158400
1987-08-01,2.632813,2.804688,2.578125,2.601563,1.322140,31500800
1987-09-01,2.625000,2.664063,2.351563,2.492188,1.270431,30296000
1987-10-01,2.492188,2.515625,1.546875,1.906250,0.971740,79660800
1987-11-01,1.937500,2.062500,1.632813,1.656250,0.844298,45724800
1987-12-01,1.648438,2.117188,1.578125,1.921875,0.984508,34443200
1988-01-01,1.937500,2.039063,1.718750,1.789063,0.916472,33289600
1988-02-01,1.812500,2.015625,1.812500,1.992188,1.020527,36032000
1988-03-01,2.000000,2.117188,1.890625,2.007813,1.033432,30425600
1988-04-01,2.007813,2.335938,2.000000,2.132813,1.097771,47464000
1988-05-01,2.125000,2.125000,1.828125,2.015625,1.037454,29974400
1988-06-01,2.015625,2.257813,1.992188,2.218750,1.147670,34644800
1988-07-01,2.203125,2.210938,1.960938,2.007813,1.038561,26467200
1988-08-01,2.000000,2.039063,1.695313,1.804688,0.933493,52123200
1988-09-01,1.812500,2.156250,1.757813,2.062500,1.072518,41828800
1988-10-01,2.046875,2.250000,1.968750,1.992188,1.035955,98880000
1988-11-01,1.984375,2.023438,1.851563,1.929688,1.003455,49540800
1988-12-01,1.929688,2.007813,1.890625,1.890625,0.988372,29654400
1989-01-01,1.898438,2.421875,1.875000,2.406250,1.257928,104763200
1989-02-01,2.429688,2.476563,2.140625,2.187500,1.143571,78667200
1989-03-01,2.203125,2.304688,2.156250,2.218750,1.165298,46368000
1989-04-01,2.210938,2.406250,2.203125,2.406250,1.263774,66086400
1989-05-01,2.390625,2.609375,2.351563,2.601563,1.366353,59761600
1989-06-01,2.585938,2.828125,2.585938,2.648438,1.396910,63371200
1989-07-01,2.640625,3.140625,2.601563,3.093750,1.631788,59560000
1989-08-01,3.085938,3.101563,2.843750,2.929688,1.545253,44465600
1989-09-01,2.914063,2.953125,2.742188,2.914063,1.542577,31705600
1989-10-01,2.921875,3.046875,2.578125,2.703125,1.430915,71982400
1989-11-01,2.718750,2.882813,2.570313,2.781250,1.472271,43856000
1989-12-01,2.796875,2.929688,2.625000,2.921875,1.554180,35292800
1990-01-01,2.906250,3.000000,2.492188,2.585938,1.375490,48019200
1990-02-01,2.585938,2.703125,2.507813,2.539063,1.350557,32774400
1990-03-01,2.546875,2.710938,2.531250,2.656250,1.419671,37236800
1990-04-01,2.640625,2.796875,2.570313,2.625000,1.402969,26952000
1990-05-01,2.617188,2.937500,2.617188,2.921875,1.561638,60065600
1990-06-01,2.953125,3.109375,2.828125,3.101563,1.665222,36316800
1990-07-01,3.093750,3.328125,2.976563,3.125000,1.677806,48404800
1990-08-01,3.125000,3.148438,2.632813,2.851563,1.530998,45659200
1990-09-01,2.851563,2.929688,2.687500,2.812500,1.516620,25660800
1990-10-01,2.835938,3.031250,2.703125,2.960938,1.596664,41603200
1990-11-01,2.953125,3.171875,2.914063,3.148438,1.697771,43824000
1990-12-01,3.156250,3.257813,3.046875,3.210938,1.739702,28163200
1991-01-01,3.226563,3.593750,3.085938,3.523438,1.909017,50769600
1991-02-01,3.523438,4.109375,3.500000,3.906250,2.116427,59632800
1991-03-01,3.875000,4.468750,3.859375,4.203125,2.285823,36123200
1991-04-01,4.234375,4.484375,3.953125,4.093750,2.226341,51260800
1991-05-01,4.093750,4.140625,3.750000,4.062500,2.209346,45428000
1991-06-01,4.062500,4.234375,3.953125,4.156250,2.268885,28588800
1991-07-01,4.218750,4.328125,3.984375,4.265625,2.328593,35022400
1991-08-01,4.250000,4.359375,4.000000,4.296875,2.345652,32360000
1991-09-01,4.328125,4.343750,3.984375,4.000000,2.190866,23841600
1991-10-01,4.031250,4.281250,3.578125,4.171875,2.285005,56428000
1991-11-01,4.171875,4.250000,3.984375,4.046875,2.216540,30464800
1991-12-01,4.015625,4.828125,4.000000,4.750000,2.611903,31592800
1992-01-01,4.718750,4.921875,4.531250,4.718750,2.594721,33045600
1992-02-01,4.718750,4.968750,4.406250,4.531250,2.491619,28012800
1992-03-01,4.531250,4.593750,4.343750,4.484375,2.474421,29018400
1992-04-01,4.484375,4.609375,3.937500,4.187500,2.310610,41451200
1992-05-01,4.203125,4.250000,3.843750,4.156250,2.293365,41104000
1992-06-01,4.171875,4.375000,3.796875,4.234375,2.345895,32991200
1992-07-01,4.281250,4.750000,4.203125,4.484375,2.484399,37373600
1992-08-01,4.484375,4.890625,4.437500,4.796875,2.657527,32572800
1992-09-01,4.812500,4.890625,4.625000,4.781250,2.658504,20866400
1992-10-01,4.796875,5.093750,4.687500,5.031250,2.797510,31055200
1992-11-01,5.015625,5.515625,5.000000,5.515625,3.066836,24120000
1992-12-01,5.500000,5.562500,5.218750,5.453125,3.043184,27603200
1993-01-01,5.484375,5.578125,4.875000,4.984375,2.781592,39312000
1993-02-01,5.000000,5.093750,4.421875,4.875000,2.720553,40636800
1993-03-01,4.875000,5.078125,4.515625,5.046875,2.827415,40673600
1993-04-01,5.031250,5.046875,4.531250,4.750000,2.661097,40768000
1993-05-01,4.734375,5.375000,4.718750,5.343750,2.993735,35200000
1993-06-01,5.328125,5.453125,4.953125,5.046875,2.838158,30316800
1993-07-01,5.046875,5.125000,4.562500,4.703125,2.644848,33168000
1993-08-01,4.703125,4.968750,4.671875,4.859375,2.732716,29616000
1993-09-01,4.859375,5.078125,4.562500,4.671875,2.637354,35836800
1993-10-01,4.687500,5.453125,4.671875,5.312500,2.998996,41948800
1993-11-01,5.312500,5.375000,4.968750,5.093750,2.875509,27324800
1993-12-01,5.062500,5.296875,4.953125,5.109375,2.896525,22466400
1994-01-01,5.109375,5.109375,4.625000,4.890625,2.772515,55449600
1994-02-01,4.828125,5.203125,4.734375,5.078125,2.878810,42308000
